profile	frame_counter	ascent_rate_ms	latitude	longitude	altitude_m	vn_ms	ve_ms	vu_ms	battery_mv	tx_ma	system_temp_c	sats_used	fix_type	pdop	hdop	vdop	gps_week	tow_ms	cal_version	pressure_offset	temp_offset	humidity_offset	rf_tune_id	manufacturing_lot	raw_rssi_dbm	raw_snr_db	temperature_c	pressure_hpa	relative_humidity_pct	wind_dir_deg	wind_speed_ms	phase
874	874	0.75	19.820671	73.985301	4409.0	1.02	3.14	0.75	3758	124	16.7	11	3	2.3	1.0	2.1	1869	55771000	2	0.06	0.14	0.9	403	M4643053	-85	8.3	6.4	648.7	39.0	252.0	3.3	ascent
875	875	1.0	19.82071	73.98542	4413.0	1.07	3.12	1.0	3753	115	16.2	11	3	1.1	1.4	0.3	1869	55775000	2	0.13	-0.11	0.9	403	M4643053	-84	8.3	6.4	648.5	39.0	251.0	3.3	ascent
876	876	0.75	19.820749	73.985535	4416.0	1.09	3.01	0.75	3756	123	16.5	8	3	1.4	1.7	0.3	1869	55779000	2	0.03	-0.1	-0.2	403	M4643053	-83	11.2	6.4	648.2	39.0	250.0	3.2	ascent
877	877	0.75	19.820791	73.985645	4419.0	1.16	2.87	0.75	3756	115	16.2	12	3	2.2	0.9	2.0	1869	55783000	2	0.19	-0.12	-0.4	403	M4643053	-81	11.3	6.4	647.9	38.0	248.0	3.1	ascent
878	878	1.0	19.820835	73.985754	4423.0	1.21	2.85	1.0	3755	116	16.9	11	3	1.1	1.4	0.3	1869	55787000	2	-0.26	-0.07	-0.2	403	M4643053	-83	14.6	6.4	647.7	38.0	247.0	3.1	ascent
879	879	0.75	19.820882	73.985861	4426.0	1.31	2.81	0.75	3758	117	17.1	10	3	1.7	1.7	0.3	1869	55791000	2	-0.1	-0.06	0.1	403	M4643053	-80	8.3	6.4	647.4	38.0	245.0	3.1	ascent
880	880	0.75	19.820929	73.985964	4429.0	1.32	2.7	0.75	3759	118	16.7	10	3	1.6	1.4	0.8	1869	55795000	2	0.08	-0.02	-0.4	403	M4643053	-86	16.9	6.4	647.2	37.0	244.0	3.0	ascent
881	881	0.75	19.820978	73.986066	4432.0	1.36	2.67	0.75	3757	124	16.8	10	3	2.4	1.4	1.9	1869	55799000	2	-0.22	0.14	0.8	403	M4643053	-88	17.3	6.4	646.9	37.0	243.0	3.0	ascent
882	882	0.75	19.821028	73.986163	4435.0	1.41	2.54	0.75	3758	120	16.9	11	3	2.4	1.6	1.8	1869	55803000	2	-0.26	0.06	-0.8	403	M4643053	-89	14.3	6.4	646.7	37.0	241.0	2.9	ascent
883	883	0.75	19.821081	73.986259	4438.0	1.45	2.51	0.75	3753	117	16.4	9	3	1.2	1.6	0.3	1869	55807000	2	-0.21	0.12	-0.9	403	M4643053	-81	9.4	6.4	646.5	36.0	240.0	2.9	ascent
884	884	0.75	19.821136	73.986353	4441.0	1.54	2.46	0.75	3755	115	16.8	11	3	2.2	1.7	1.4	1869	55811000	2	0.03	-0.08	-0.9	403	M4643053	-81	11.6	6.4	646.2	36.0	238.0	2.9	ascent
885	885	0.75	19.821193	73.986446	4444.0	1.58	2.43	0.75	3760	122	16.4	9	3	1.3	1.7	0.3	1869	55815000	2	0.29	-0.2	0.4	403	M4643053	-84	18.0	6.4	646.0	36.0	237.0	2.9	ascent
886	886	0.75	19.821252	73.986536	4447.0	1.66	2.38	0.75	3760	115	16.4	11	3	1.4	1.4	0.3	1869	55819000	2	-0.19	0.09	0.6	403	M4643053	-80	11.6	6.4	645.7	35.0	235.0	2.9	ascent
887	887	0.75	19.821311	73.986623	4450.0	1.65	2.27	0.75	3757	115	16.1	9	3	1.6	1.4	0.8	1869	55823000	2	0.26	-0.01	0.8	403	M4643053	-89	16.0	6.4	645.5	35.0	234.0	2.8	ascent
888	888	0.75	19.821372	73.986708	4453.0	1.69	2.24	0.75	3754	115	17.0	9	3	2.4	1.1	2.1	1869	55827000	2	-0.25	0.19	-0.8	403	M4643053	-82	15.4	6.4	645.2	35.0	233.0	2.8	ascent
889	889	0.75	19.821434	73.986793	4456.0	1.72	2.21	0.75	3753	115	16.3	9	3	1.5	1.3	0.7	1869	55831000	2	0.16	0.05	0.4	403	M4643053	-81	12.3	6.4	645.0	35.0	232.0	2.8	ascent
890	890	0.75	19.821497	73.986876	4459.0	1.76	2.18	0.75	3752	116	16.8	11	3	1.2	1.3	0.3	1869	55835000	2	-0.21	0.11	0.2	403	M4643053	-81	15.1	6.3	644.8	35.0	231.0	2.8	ascent
891	891	0.75	19.821562	73.986958	4462.0	1.8	2.14	0.75	3748	120	16.4	12	3	1.2	1.0	0.7	1869	55839000	2	-0.28	0.05	0.9	403	M4643053	-89	13.5	6.3	644.5	35.0	230.0	2.8	ascent
892	892	0.75	19.82163	73.987041	4465.0	1.9	2.19	0.75	3758	118	16.4	12	3	2.1	1.4	1.6	1869	55843000	2	-0.19	0.13	-0.8	403	M4643053	-84	13.9	6.3	644.3	35.0	229.0	2.9	ascent
893	893	1.0	19.821699	73.987125	4469.0	1.9	2.19	1.0	3750	118	16.6	12	3	1.3	1.5	0.3	1869	55847000	2	0.19	-0.12	-0.1	403	M4643053	-88	15.6	6.3	644.1	35.0	229.0	2.9	ascent
894	894	0.75	19.821768	73.987207	4472.0	1.94	2.16	0.75	3762	122	16.8	11	3	1.8	1.8	0.3	1869	55851000	2	-0.26	-0.01	-1.0	403	M4643053	-83	14.9	6.3	643.8	35.0	228.0	2.9	ascent
895	895	0.75	19.821839	73.987288	4475.0	1.98	2.12	0.75	3755	122	16.3	12	3	1.2	0.9	0.8	1869	55855000	2	-0.11	0.15	-0.8	403	M4643053	-82	15.8	6.2	643.5	35.0	227.0	2.9	ascent
896	896	0.75	19.82191	73.987369	4478.0	1.98	2.12	0.75	3751	122	16.6	8	3	2.2	1.8	1.3	1869	55859000	2	-0.04	0.18	-0.8	403	M4643053	-81	12.7	6.2	643.3	35.0	227.0	2.9	ascent
897	897	0.75	19.821983	73.987449	4481.0	2.01	2.09	0.75	3755	118	16.8	11	3	1.6	1.6	0.3	1869	55863000	2	-0.09	0.14	-0.1	403	M4643053	-87	16.3	6.2	643.0	35.0	226.0	2.9	ascent
898	898	1.0	19.822055	73.987529	4485.0	2.01	2.09	1.0	3750	119	16.7	9	3	1.3	0.8	1.0	1869	55867000	2	0.14	-0.16	0.9	403	M4643053	-83	17.8	6.2	642.8	35.0	226.0	2.9	ascent
899	899	0.5	19.822131	73.98761	4487.0	2.12	2.12	0.5	3759	124	17.0	8	3	1.5	1.7	0.3	1869	55871000	2	0.27	0.1	0.1	403	M4643053	-86	15.7	6.1	642.6	35.0	225.0	3.0	ascent
900	900	0.75	19.822208	73.987691	4490.0	2.12	2.12	0.75	3747	118	16.6	8	3	1.7	1.7	0.3	1869	55875000	2	-0.06	0.04	0.7	403	M4643053	-86	14.9	6.1	642.4	35.0	225.0	3.0	ascent
901	901	0.75	19.822284	73.987772	4493.0	2.12	2.12	0.75	3759	117	16.5	9	3	2.3	0.9	2.1	1869	55879000	2	-0.28	-0.16	0.4	403	M4643053	-84	8.1	6.1	642.2	35.0	225.0	3.0	ascent
902	902	0.5	19.822361	73.987851	4495.0	2.16	2.08	0.5	3748	121	16.6	8	3	1.9	1.7	0.8	1869	55883000	2	-0.18	-0.13	-0.4	403	M4643053	-81	16.0	6.1	642.0	35.0	224.0	3.0	ascent
903	903	0.75	19.822439	73.987931	4498.0	2.16	2.08	0.75	3754	117	16.7	11	3	1.6	1.3	0.9	1869	55887000	2	0.12	0.02	0.2	403	M4643053	-83	10.4	6.0	641.7	35.0	224.0	3.0	ascent
904	904	0.75	19.822519	73.988013	4501.0	2.23	2.15	0.75	3756	116	16.5	10	3	1.9	0.8	1.7	1869	55891000	2	0.23	0.17	0.7	403	M4643053	-88	11.7	6.0	641.5	35.0	224.0	3.1	ascent
905	905	1.0	19.822601	73.988094	4505.0	2.27	2.11	1.0	3762	116	16.6	10	3	2.1	1.2	1.7	1869	55895000	2	-0.23	0.03	-0.2	403	M4643053	-89	10.1	6.0	641.2	36.0	223.0	3.1	ascent
906	906	0.75	19.822682	73.988175	4508.0	2.27	2.11	0.75	3758	119	16.5	10	3	1.8	1.0	1.5	1869	55899000	2	0.25	0.02	-0.0	403	M4643053	-86	13.6	6.0	641.0	36.0	223.0	3.1	ascent
907	907	0.5	19.822764	73.988255	4510.0	2.27	2.11	0.5	3746	117	16.2	9	3	1.3	1.0	0.8	1869	55903000	2	-0.15	-0.05	-0.4	403	M4643053	-85	16.0	5.9	640.8	36.0	223.0	3.1	ascent
908	908	0.75	19.822845	73.988336	4513.0	2.27	2.11	0.75	3758	115	16.2	12	3	1.7	1.3	1.1	1869	55907000	2	0.16	-0.15	-0.2	403	M4643053	-88	11.3	5.9	640.5	36.0	223.0	3.1	ascent
909	909	1.0	19.822929	73.988419	4517.0	2.34	2.18	1.0	3747	117	16.5	9	3	1.9	1.3	1.4	1869	55911000	2	-0.3	-0.16	0.5	403	M4643053	-87	16.0	5.9	640.3	36.0	223.0	3.2	ascent
910	910	0.75	19.823015	73.988501	4520.0	2.38	2.14	0.75	3757	122	16.7	10	3	1.7	1.3	1.1	1869	55915000	2	0.23	-0.17	0.1	403	M4643053	-88	11.1	5.9	640.0	36.0	222.0	3.2	ascent
911	911	1.0	19.8231	73.988583	4524.0	2.38	2.14	1.0	3747	120	16.1	8	3	2.3	1.7	1.5	1869	55919000	2	0.15	-0.19	-0.3	403	M4643053	-86	14.3	5.8	639.7	36.0	222.0	3.2	ascent
912	912	0.75	19.823185	73.988665	4527.0	2.38	2.14	0.75	3749	118	16.9	11	3	2.5	1.7	1.8	1869	55923000	2	-0.07	0.1	0.8	403	M4643053	-80	17.7	5.8	639.5	36.0	222.0	3.2	ascent
913	913	0.75	19.823271	73.988747	4530.0	2.38	2.14	0.75	3750	115	16.2	9	3	1.8	0.9	1.6	1869	55927000	2	0.18	-0.09	0.4	403	M4643053	-87	11.4	5.8	639.3	36.0	222.0	3.2	ascent
914	914	0.5	19.823356	73.988828	4532.0	2.38	2.14	0.5	3753	115	16.9	12	3	1.6	1.2	1.1	1869	55931000	2	0.21	-0.16	0.9	403	M4643053	-83	9.4	5.7	639.1	36.0	222.0	3.2	ascent
915	915	0.75	19.823443	73.988909	4535.0	2.42	2.1	0.75	3761	118	16.5	11	3	2.2	1.8	1.3	1869	55935000	2	0.24	0.07	0.4	403	M4643053	-83	15.3	5.7	638.8	36.0	221.0	3.2	ascent
916	916	0.75	19.823533	73.988991	4538.0	2.49	2.16	0.75	3752	120	16.5	11	3	2.1	1.6	1.4	1869	55939000	2	0.09	0.15	0.9	403	M4643053	-86	14.8	5.7	638.6	36.0	221.0	3.3	ascent
917	917	0.75	19.823622	73.989074	4541.0	2.49	2.16	0.75	3749	115	16.6	11	3	1.1	1.6	0.3	1869	55943000	2	0.04	-0.04	0.8	403	M4643053	-86	13.4	5.7	638.3	36.0	221.0	3.3	ascent
918	918	1.0	19.823712	73.989157	4545.0	2.49	2.16	1.0	3758	123	16.7	8	3	1.4	1.6	0.3	1869	55947000	2	0.27	-0.1	0.6	403	M4643053	-83	13.6	5.6	638.1	35.0	221.0	3.3	ascent
919	919	0.75	19.823802	73.989238	4548.0	2.53	2.12	0.75	3759	115	16.6	9	3	2.3	1.8	1.4	1869	55951000	2	-0.2	-0.01	0.1	403	M4643053	-82	13.8	5.6	637.8	35.0	220.0	3.3	ascent
920	920	0.75	19.823893	73.989319	4551.0	2.53	2.12	0.75	3761	117	16.5	8	3	1.5	1.0	1.1	1869	55955000	2	-0.07	0.03	-0.4	403	M4643053	-81	17.8	5.6	637.6	35.0	220.0	3.3	ascent
921	921	0.75	19.823984	73.9894	4554.0	2.53	2.12	0.75	3751	119	16.3	11	3	2.3	1.5	1.7	1869	55959000	2	-0.2	-0.2	-1.0	403	M4643053	-85	17.3	5.5	637.3	35.0	220.0	3.3	ascent
922	922	1.0	19.824075	73.989481	4558.0	2.53	2.12	1.0	3750	119	16.5	8	3	2.0	1.2	1.6	1869	55963000	2	-0.13	0.1	0.2	403	M4643053	-87	14.7	5.5	637.1	36.0	220.0	3.3	ascent
923	923	0.75	19.824167	73.98956	4561.0	2.56	2.08	0.75	3759	119	16.8	11	3	2.1	1.4	1.6	1869	55967000	2	0.01	-0.01	-0.8	403	M4643053	-80	16.5	5.5	636.8	36.0	219.0	3.3	ascent
924	924	0.75	19.824259	73.989639	4564.0	2.56	2.08	0.75	3754	124	16.0	8	3	1.2	0.8	0.9	1869	55971000	2	0.13	-0.09	0.3	403	M4643053	-85	17.5	5.4	636.6	36.0	219.0	3.3	ascent
925	925	1.0	19.824351	73.989719	4568.0	2.56	2.08	1.0	3761	124	16.4	9	3	1.2	1.1	0.5	1869	55975000	2	0.04	-0.16	0.8	403	M4643053	-87	14.3	5.4	636.3	36.0	219.0	3.3	ascent
926	926	0.75	19.824444	73.989798	4571.0	2.56	2.08	0.75	3748	124	16.7	9	3	1.5	1.2	0.9	1869	55979000	2	0.03	0.06	-0.0	403	M4643053	-83	16.1	5.4	636.1	35.0	219.0	3.3	ascent
927	927	0.75	19.824536	73.989877	4574.0	2.56	2.08	0.75	3754	120	16.5	10	3	2.3	1.5	1.7	1869	55983000	2	-0.27	-0.14	0.8	403	M4643053	-86	14.4	5.4	635.8	35.0	219.0	3.3	ascent
928	928	0.75	19.824629	73.989955	4577.0	2.6	2.03	0.75	3753	116	16.6	11	3	1.2	0.9	0.8	1869	55987000	2	0.29	0.13	0.7	403	M4643053	-80	17.6	5.4	635.6	34.0	218.0	3.3	ascent
929	929	1.0	19.824723	73.990033	4581.0	2.6	2.03	1.0	3760	124	16.3	12	3	2.2	1.1	1.9	1869	55991000	2	0.05	-0.15	-0.2	403	M4643053	-89	17.3	5.3	635.3	34.0	218.0	3.3	ascent
930	930	0.75	19.824816	73.99011	4584.0	2.6	2.03	0.75	3746	116	16.4	10	3	1.5	1.5	0.3	1869	55995000	2	0.0	-0.18	0.2	403	M4643053	-86	11.0	5.3	635.0	33.0	218.0	3.3	ascent
931	931	0.75	19.824909	73.990188	4587.0	2.6	2.03	0.75	3760	123	16.5	10	3	2.3	1.3	1.9	1869	55999000	2	0.25	0.14	0.5	403	M4643053	-80	9.8	5.3	634.8	33.0	218.0	3.3	ascent
932	932	1.0	19.825003	73.990265	4591.0	2.6	2.03	1.0	3760	120	16.7	11	3	2.5	1.5	2.0	1869	56003000	2	0.14	-0.02	-0.9	403	M4643053	-84	16.9	5.3	634.5	33.0	218.0	3.3	ascent
933	933	0.75	19.825096	73.990343	4594.0	2.6	2.03	0.75	3760	116	16.6	9	3	1.6	1.0	1.2	1869	56007000	2	0.14	0.02	-0.9	403	M4643053	-80	15.5	5.2	634.3	33.0	218.0	3.3	ascent
934	934	0.75	19.825191	73.990419	4597.0	2.64	1.99	0.75	3746	119	16.2	11	3	1.8	1.8	0.3	1869	56011000	2	0.14	-0.14	-0.1	403	M4643053	-80	16.4	5.2	634.0	33.0	217.0	3.3	ascent
935	935	0.75	19.825286	73.990495	4600.0	2.64	1.99	0.75	3755	118	15.9	12	3	2.5	1.6	1.9	1869	56015000	2	-0.12	0.1	0.3	403	M4643053	-88	9.1	5.2	633.8	33.0	217.0	3.3	ascent
936	936	0.75	19.825378	73.990568	4603.0	2.56	1.93	0.75	3761	119	16.6	8	3	2.3	1.0	2.1	1869	56019000	2	0.15	0.14	-1.0	403	M4643053	-89	10.5	5.1	633.5	33.0	217.0	3.2	ascent
937	937	0.75	19.825469	73.990642	4606.0	2.56	1.93	0.75	3753	122	16.7	12	3	2.2	1.3	1.8	1869	56023000	2	0.12	-0.03	0.6	403	M4643053	-84	9.6	5.1	633.3	33.0	217.0	3.2	ascent
938	938	0.75	19.825561	73.990715	4609.0	2.56	1.93	0.75	3756	120	16.7	11	3	2.2	1.6	1.5	1869	56027000	2	0.01	-0.09	-0.5	403	M4643053	-88	15.0	5.1	633.1	32.0	217.0	3.2	ascent
939	939	0.75	19.825654	73.990787	4612.0	2.59	1.88	0.75	3752	119	16.5	11	3	1.8	1.1	1.4	1869	56031000	2	0.07	-0.06	0.7	403	M4643053	-82	14.7	5.1	632.9	32.0	216.0	3.2	ascent
940	940	0.75	19.825747	73.990859	4615.0	2.59	1.88	0.75	3752	119	16.1	10	3	2.2	1.2	1.8	1869	56035000	2	0.11	-0.16	0.2	403	M4643053	-88	9.0	5.0	632.7	32.0	216.0	3.2	ascent
941	941	0.5	19.82584	73.990931	4617.0	2.59	1.88	0.5	3750	123	16.6	12	3	1.5	1.3	0.7	1869	56039000	2	-0.18	-0.07	-0.7	403	M4643053	-88	9.9	5.0	632.4	32.0	216.0	3.2	ascent
942	942	0.75	19.825933	73.991003	4620.0	2.59	1.88	0.75	3748	117	16.6	9	3	1.7	1.8	0.3	1869	56043000	2	-0.07	0.18	-0.5	403	M4643053	-88	17.3	5.0	632.2	32.0	216.0	3.2	ascent
943	943	1.0	19.826028	73.991073	4624.0	2.62	1.84	1.0	3759	122	16.7	11	3	1.4	0.8	1.1	1869	56047000	2	-0.02	0.11	-0.5	403	M4643053	-82	15.3	5.0	632.0	33.0	215.0	3.2	ascent
944	944	0.75	19.826122	73.991143	4627.0	2.62	1.84	0.75	3750	121	16.0	9	3	1.6	1.2	1.1	1869	56051000	2	-0.06	-0.01	-0.8	403	M4643053	-86	13.6	4.9	631.7	33.0	215.0	3.2	ascent
945	945	0.75	19.826216	73.991213	4630.0	2.62	1.84	0.75	3760	115	16.5	11	3	2.2	1.4	1.7	1869	56055000	2	0.2	0.15	-0.2	403	M4643053	-80	12.1	4.9	631.5	33.0	215.0	3.2	ascent
946	946	0.75	19.826311	73.991281	4633.0	2.65	1.79	0.75	3748	124	15.9	9	3	1.4	1.3	0.5	1869	56059000	2	0.02	-0.06	-0.2	403	M4643053	-82	15.7	4.9	631.2	33.0	214.0	3.2	ascent
947	947	0.75	19.826407	73.99135	4636.0	2.65	1.79	0.75	3758	123	16.2	9	3	1.8	1.7	0.6	1869	56063000	2	-0.19	-0.07	0.2	403	M4643053	-88	10.3	4.9	631.0	32.0	214.0	3.2	ascent
948	948	0.75	19.826503	73.991416	4639.0	2.68	1.74	0.75	3756	122	15.8	9	3	2.1	1.6	1.4	1869	56067000	2	0.03	0.03	-0.7	403	M4643053	-87	17.4	4.9	630.8	32.0	213.0	3.2	ascent
949	949	0.75	19.826599	73.991483	4642.0	2.68	1.74	0.75	3748	116	16.6	8	3	1.4	1.2	0.7	1869	56071000	2	-0.18	-0.15	0.3	403	M4643053	-81	13.1	4.8	630.5	32.0	213.0	3.2	ascent
950	950	0.75	19.826697	73.991548	4645.0	2.71	1.7	0.75	3756	115	16.1	12	3	1.5	1.2	0.9	1869	56075000	2	-0.01	0.02	0.8	403	M4643053	-87	10.2	4.8	630.3	32.0	212.0	3.2	ascent
951	951	0.75	19.826795	73.991611	4648.0	2.74	1.65	0.75	3754	118	16.6	8	3	1.9	1.6	1.0	1869	56079000	2	0.11	-0.01	-0.2	403	M4643053	-83	13.4	4.8	630.1	31.0	211.0	3.2	ascent
952	952	0.75	19.826895	73.991672	4651.0	2.77	1.6	0.75	3750	118	16.5	11	3	1.5	1.6	0.3	1869	56083000	2	-0.21	-0.05	0.3	403	M4643053	-84	10.2	4.8	629.8	31.0	210.0	3.2	ascent
953	953	1.0	19.826998	73.991735	4655.0	2.86	1.65	1.0	3744	117	15.8	12	3	2.0	1.2	1.6	1869	56087000	2	0.19	-0.12	0.9	403	M4643053	-80	12.3	4.8	629.6	30.0	210.0	3.3	ascent
954	954	0.75	19.827101	73.991796	4658.0	2.89	1.6	0.75	3755	116	16.7	12	3	1.6	1.0	1.2	1869	56091000	2	-0.17	0.12	-0.9	403	M4643053	-83	14.1	4.8	629.3	30.0	209.0	3.3	ascent
955	955	0.75	19.827206	73.991855	4661.0	2.91	1.55	0.75	3755	123	16.4	12	3	1.8	1.7	0.6	1869	56095000	2	-0.25	-0.05	-0.5	403	M4643053	-89	13.1	4.8	629.1	30.0	208.0	3.3	ascent
956	956	0.75	19.827312	73.991912	4664.0	2.94	1.5	0.75	3749	118	15.8	12	3	2.3	1.2	2.0	1869	56099000	2	0.11	-0.19	-0.3	403	M4643053	-86	12.3	4.8	628.8	30.0	207.0	3.3	ascent
957	957	0.75	19.827418	73.991968	4667.0	2.97	1.45	0.75	3744	121	15.9	12	3	1.7	1.5	0.8	1869	56103000	2	-0.12	-0.03	-0.8	403	M4643053	-87	13.7	4.7	628.6	30.0	206.0	3.3	ascent
958	958	0.75	19.827526	73.992021	4670.0	2.99	1.39	0.75	3753	122	15.8	12	3	1.7	0.9	1.4	1869	56107000	2	0.14	-0.11	-0.3	403	M4643053	-86	16.6	4.7	628.4	30.0	205.0	3.3	ascent
959	959	0.75	19.827634	73.992072	4673.0	3.01	1.34	0.75	3749	122	15.9	11	3	1.3	0.9	0.9	1869	56111000	2	0.11	-0.08	0.1	403	M4643053	-80	10.3	4.7	628.1	30.0	204.0	3.3	ascent
960	960	1.0	19.827743	73.992121	4677.0	3.04	1.29	1.0	3753	115	16.2	12	3	1.5	1.1	1.0	1869	56115000	2	-0.09	0.12	-0.4	403	M4643053	-86	15.8	4.7	627.8	30.0	203.0	3.3	ascent
961	961	0.75	19.827853	73.992169	4680.0	3.06	1.24	0.75	3752	117	15.7	10	3	1.4	1.3	0.5	1869	56119000	2	0.14	-0.16	0.3	403	M4643053	-82	17.4	4.6	627.6	30.0	202.0	3.3	ascent
962	962	1.0	19.827964	73.992214	4684.0	3.08	1.18	1.0	3754	124	16.0	9	3	1.6	1.2	1.1	1869	56123000	2	-0.07	0.12	-0.6	403	M4643053	-82	9.9	4.6	627.3	30.0	201.0	3.3	ascent
963	963	0.75	19.828075	73.992257	4687.0	3.1	1.13	0.75	3748	117	16.6	9	3	1.5	1.3	0.7	1869	56127000	2	-0.04	-0.04	0.6	403	M4643053	-84	8.3	4.6	627.1	30.0	200.0	3.3	ascent
964	964	0.75	19.828188	73.992298	4690.0	3.12	1.07	0.75	3750	124	15.6	8	3	1.5	1.3	0.7	1869	56131000	2	-0.03	0.19	0.5	403	M4643053	-85	11.0	4.5	626.8	30.0	199.0	3.3	ascent
965	965	1.0	19.8283	73.992337	4694.0	3.14	1.02	1.0	3752	121	16.3	11	3	2.2	1.4	1.7	1869	56135000	2	0.01	0.05	0.3	403	M4643053	-87	12.8	4.5	626.5	30.0	198.0	3.3	ascent
966	966	0.75	19.828417	73.992375	4697.0	3.25	0.99	0.75	3753	115	15.8	11	3	2.2	1.6	1.5	1869	56139000	2	-0.24	-0.03	0.8	403	M4643053	-82	14.6	4.5	626.3	30.0	197.0	3.4	ascent
967	967	0.75	19.828535	73.992411	4700.0	3.27	0.94	0.75	3743	118	16.1	10	3	2.0	1.4	1.4	1869	56143000	2	-0.15	-0.09	-0.1	403	M4643053	-84	11.0	4.5	626.1	30.0	196.0	3.4	ascent
968	968	0.75	19.828652	73.992446	4703.0	3.27	0.94	0.75	3759	120	16.4	11	3	2.2	1.5	1.6	1869	56147000	2	0.23	0.1	0.6	403	M4643053	-80	11.3	4.5	625.8	29.0	196.0	3.4	ascent
969	969	0.75	19.82877	73.99248	4706.0	3.28	0.88	0.75	3748	119	16.5	12	3	2.4	0.8	2.3	1869	56151000	2	-0.25	-0.12	0.1	403	M4643053	-81	15.4	4.4	625.6	29.0	195.0	3.4	ascent
970	970	1.0	19.828889	73.992511	4710.0	3.3	0.82	1.0	3755	120	16.6	11	3	1.2	1.3	0.3	1869	56155000	2	-0.14	0.13	-0.3	403	M4643053	-83	12.0	4.4	625.3	29.0	194.0	3.4	ascent
971	971	0.75	19.829008	73.992541	4713.0	3.31	0.76	0.75	3749	122	15.7	10	3	2.0	1.3	1.5	1869	56159000	2	-0.16	0.0	0.1	403	M4643053	-84	14.7	4.4	625.0	29.0	193.0	3.4	ascent
972	972	1.0	19.829127	73.992568	4717.0	3.33	0.71	1.0	3753	117	15.8	10	3	1.7	1.4	1.0	1869	56163000	2	0.16	-0.11	-0.5	403	M4643053	-85	11.3	4.4	624.8	29.0	192.0	3.4	ascent
973	973	0.75	19.829247	73.992592	4720.0	3.34	0.65	0.75	3749	115	15.8	8	3	1.4	0.9	1.1	1869	56167000	2	-0.03	-0.2	0.1	403	M4643053	-87	16.7	4.3	624.5	29.0	191.0	3.4	ascent
974	974	0.75	19.829367	73.992617	4723.0	3.34	0.65	0.75	3743	117	16.4	11	3	2.0	1.2	1.6	1869	56171000	2	-0.17	-0.04	-0.1	403	M4643053	-85	15.3	4.3	624.3	29.0	191.0	3.4	ascent
975	975	0.75	19.829487	73.99264	4726.0	3.35	0.59	0.75	3744	115	15.8	12	3	1.3	1.5	0.3	1869	56175000	2	0.19	-0.18	0.5	403	M4643053	-82	16.2	4.3	624.1	29.0	190.0	3.4	ascent
976	976	0.75	19.829608	73.99266	4729.0	3.36	0.53	0.75	3752	119	16.1	11	3	2.1	1.8	1.1	1869	56179000	2	0.26	-0.17	0.1	403	M4643053	-83	8.4	4.3	623.8	29.0	189.0	3.4	ascent
977	977	1.0	19.829729	73.99268	4733.0	3.36	0.53	1.0	3746	117	15.7	10	3	1.3	1.3	0.3	1869	56183000	2	0.03	0.09	0.3	403	M4643053	-89	16.1	4.2	623.5	30.0	189.0	3.4	ascent
978	978	1.0	19.82985	73.992698	4737.0	3.37	0.47	1.0	3755	115	16.1	12	3	1.5	1.5	0.3	1869	56187000	2	0.17	-0.01	0.6	403	M4643053	-89	17.9	4.2	623.2	30.0	188.0	3.4	ascent
979	979	0.75	19.829971	73.992717	4740.0	3.37	0.47	0.75	3756	123	15.6	8	3	1.2	1.7	0.3	1869	56191000	2	0.03	0.16	0.1	403	M4643053	-86	17.1	4.1	623.0	30.0	188.0	3.4	ascent
980	980	0.75	19.830092	73.992732	4743.0	3.37	0.41	0.75	3755	116	16.4	8	3	1.9	1.4	1.3	1869	56195000	2	0.08	0.09	-0.9	403	M4643053	-86	9.2	4.1	622.7	30.0	187.0	3.4	ascent
981	981	1.0	19.830213	73.992748	4747.0	3.37	0.41	1.0	3752	123	16.1	8	3	2.0	1.5	1.3	1869	56199000	2	0.02	-0.17	-0.1	403	M4643053	-83	8.8	4.1	622.5	30.0	187.0	3.4	ascent
982	982	0.75	19.830334	73.992764	4750.0	3.37	0.41	0.75	3752	116	16.4	8	3	1.9	1.4	1.3	1869	56203000	2	0.12	0.1	0.9	403	M4643053	-81	17.1	4.1	622.2	30.0	187.0	3.4	ascent
983	983	1.0	19.830459	73.992778	4754.0	3.48	0.37	1.0	3754	121	15.6	10	3	1.1	1.7	0.3	1869	56207000	2	0.28	-0.11	0.6	403	M4643053	-89	9.9	4.0	621.9	30.0	186.0	3.5	ascent
984	984	0.75	19.830584	73.992792	4757.0	3.48	0.37	0.75	3743	123	16.4	12	3	1.6	1.8	0.3	1869	56211000	2	0.19	-0.18	-0.9	403	M4643053	-80	10.1	4.0	621.7	30.0	186.0	3.5	ascent
985	985	1.0	19.83071	73.992806	4761.0	3.48	0.37	1.0	3748	120	15.9	8	3	2.4	1.3	2.0	1869	56215000	2	0.13	-0.1	-1.0	403	M4643053	-86	8.7	3.9	621.4	30.0	186.0	3.5	ascent
986	986	0.75	19.830835	73.99282	4764.0	3.48	0.37	0.75	3754	122	16.1	9	3	2.4	1.6	1.8	1869	56219000	2	0.25	0.2	0.2	403	M4643053	-81	17.4	3.9	621.1	30.0	186.0	3.5	ascent
987	987	1.0	19.83096	73.992832	4768.0	3.49	0.31	1.0	3745	116	15.9	11	3	1.5	1.5	0.3	1869	56223000	2	0.2	-0.17	-0.8	403	M4643053	-88	15.3	3.9	620.9	30.0	185.0	3.5	ascent
